"Units","scenario","region","year","value"
"thous","Reference","South Africa",2060,67571
"thous","Reference","South Africa",2065,67720
"thous","Reference","South Africa",2070,67556
"thous","Reference","South Africa",2075,67095
"thous","Reference","South Africa",2080,66349
"thous","Reference","South Africa",2085,65437
"thous","Reference","South Africa",2090,64361
"thous","Reference","South Africa",2095,63119
"thous","Reference","South Africa",2100,61707
"thous","Reference","South America_Northern",1975,14351
"thous","Reference","South America_Northern",1990,20897
"thous","Reference","South America_Northern",2005,27881
"thous","Reference","South America_Northern",2010,29952
"thous","Reference","South America_Northern",2015,31669
"thous","Reference","South America_Northern",2020,33700
"thous","Reference","South America_Northern",2025,35594
"thous","Reference","South America_Northern",2030,37332
"thous","Reference","South America_Northern",2035,38852
"thous","Reference","South America_Northern",2040,40151
"thous","Reference","South America_Northern",2045,41230
"thous","Reference","South America_Northern",2050,42082
"thous","Reference","South America_Northern",2055,42720
"thous","Reference","South America_Northern",2060,43150
"thous","Reference","South America_Northern",2065,43365
"thous","Reference","South America_Northern",2070,43360
"thous","Reference","South America_Northern",2075,43147
"thous","Reference","South America_Northern",2080,42778
"thous","Reference","South America_Northern",2085,42267
"thous","Reference","South America_Northern",2090,41631
"thous","Reference","South America_Northern",2095,40891
"thous","Reference","South America_Northern",2100,40070
"thous","Reference","South America_Southern",1975,43634
"thous","Reference","South America_Southern",1990,59775
"thous","Reference","South America_Southern",2005,76253
"thous","Reference","South America_Southern",2010,80757
"thous","Reference","South America_Southern",2015,85623
"thous","Reference","South America_Southern",2020,89585
"thous","Reference","South America_Southern",2025,93150
"thous","Reference","South America_Southern",2030,96224
"thous","Reference","South America_Southern",2035,98742
"thous","Reference","South America_Southern",2040,100722
"thous","Reference","South America_Southern",2045,102136
"thous","Reference","South America_Southern",2050,102982
"thous","Reference","South America_Southern",2055,103289
"thous","Reference","South America_Southern",2060,103109
"thous","Reference","South America_Southern",2065,102643
"thous","Reference","South America_Southern",2070,101937
"thous","Reference","South America_Southern",2075,100995
"thous","Reference","South America_Southern",2080,99817
"thous","Reference","South America_Southern",2085,98433
"thous","Reference","South America_Southern",2090,96900
"thous","Reference","South America_Southern",2095,95294
"thous","Reference","South America_Southern",2100,93650
"thous","Reference","South Asia",1975,110416
"thous","Reference","South Asia",1990,152569
"thous","Reference","South Asia",2005,210948
"thous","Reference","South Asia",2010,225087
"thous","Reference","South Asia",2015,239776
"thous","Reference","South Asia",2020,256461
"thous","Reference","South Asia",2025,272593
"thous","Reference","South Asia",2030,287632
"thous","Reference","South Asia",2035,301395
"thous","Reference","South Asia",2040,313720
"thous","Reference","South Asia",2045,324320
"thous","Reference","South Asia",2050,333066
"thous","Reference","South Asia",2055,339924
"thous","Reference","South Asia",2060,344844
"thous","Reference","South Asia",2065,348159
"thous","Reference","South Asia",2070,350061
"thous","Reference","South Asia",2075,350761
"thous","Reference","South Asia",2080,350355
"thous","Reference","South Asia",2085,348946
"thous","Reference","South Asia",2090,346676
"thous","Reference","South Asia",2095,343742
"thous","Reference","South Asia",2100,340319
"thous","Reference","South Korea",1975,35379
"thous","Reference","South Korea",1990,42918
"thous","Reference","South Korea",2005,48701
"thous","Reference","South Korea",2010,49546
"thous","Reference","South Korea",2015,50823
"thous","Reference","South Korea",2020,51313
"thous","Reference","South Korea",2025,51586
"thous","Reference","South Korea",2030,51607
"thous","Reference","South Korea",2035,51276
"thous","Reference","South Korea",2040,50536
"thous","Reference","South Korea",2045,49424
"thous","Reference","South Korea",2050,47994
"thous","Reference","South Korea",2055,46346
"thous","Reference","South Korea",2060,44588
"thous","Reference","South Korea",2065,42769
"thous","Reference","South Korea",2070,40936
"thous","Reference","South Korea",2075,39131
"thous","Reference","South Korea",2080,37385
"thous","Reference","South Korea",2085,35718
"thous","Reference","South Korea",2090,34143
"thous","Reference","South Korea",2095,32668
"thous","Reference","South Korea",2100,31222
"thous","Reference","Southeast Asia",1975,209955
"thous","Reference","Southeast Asia",1990,290435
"thous","Reference","Southeast Asia",2005,368399
"thous","Reference","Southeast Asia",2010,390297
"thous","Reference","Southeast Asia",2015,412741
"thous","Reference","Southeast Asia",2020,433107
"thous","Reference","Southeast Asia",2025,451150
"thous","Reference","Southeast Asia",2030,466494
"thous","Reference","Southeast Asia",2035,478957
"thous","Reference","Southeast Asia",2040,488555
"thous","Reference","Southeast Asia",2045,495292
"thous","Reference","Southeast Asia",2050,499174
"thous","Reference","Southeast Asia",2055,500737
"thous","Reference","Southeast Asia",2060,500223
"thous","Reference","Southeast Asia",2065,497740
"thous","Reference","Southeast Asia",2070,493605
"thous","Reference","Southeast Asia",2075,487847
"thous","Reference","Southeast Asia",2080,480743
"thous","Reference","Southeast Asia",2085,472604
"thous","Reference","Southeast Asia",2090,463739
"thous","Reference","Southeast Asia",2095,454455
"thous","Reference","Southeast Asia",2100,444858
"thous","Reference","Taiwan",1975,16465
"thous","Reference","Taiwan",1990,20479
"thous","Reference","Taiwan",2005,22706
"thous","Reference","Taiwan",2010,23188
"thous","Reference","Taiwan",2015,23557
"thous","Reference","Taiwan",2020,23557
"thous","Reference","Taiwan",2025,23557
"thous","Reference","Taiwan",2030,23557
"thous","Reference","Taiwan",2035,23557
"thous","Reference","Taiwan",2040,23557
"thous","Reference","Taiwan",2045,23557
"thous","Reference","Taiwan",2050,23557
"thous","Reference","Taiwan",2055,23557
"thous","Reference","Taiwan",2060,23557
"thous","Reference","Taiwan",2065,23557
"thous","Reference","Taiwan",2070,23557
"thous","Reference","Taiwan",2075,23557
"thous","Reference","Taiwan",2080,23557
"thous","Reference","Taiwan",2085,23557
"thous","Reference","Taiwan",2090,23557
"thous","Reference","Taiwan",2095,23557
"thous","Reference","Taiwan",2100,23557
"thous","Reference","USA",1975,222013
"thous","Reference","USA",1990,255627
"thous","Reference","USA",2005,298733
"thous","Reference","USA",2010,312697
"thous","Reference","USA",2015,324365
"thous","Reference","USA",2020,337150
"thous","Reference","USA",2025,349942
"thous","Reference","USA",2030,362126
"thous","Reference","USA",2035,373482
"thous","Reference","USA",2040,383986
"thous","Reference","USA",2045,393596
"thous","Reference","USA",2050,402689
"thous","Reference","USA",2055,411756
"thous","Reference","USA",2060,420930
"thous","Reference","USA",2065,429574
"thous","Reference","USA",2070,437286
"thous","Reference","USA",2075,443787
"thous","Reference","USA",2080,448905
"thous","Reference","USA",2085,452695
"thous","Reference","USA",2090,455351
"thous","Reference","USA",2095,456992
"thous","Reference","USA",2100,457531
