"region","mineral","year","value"
"Brazil","steel",2100,1.16566820732901
"Canada","steel",2015,1.2712151154341
"Canada","steel",2020,1.18799791638498
"Canada","steel",2025,1.10478071733585
"Canada","steel",2030,1.02156351828672
"Canada","steel",2035,0.938346319237592
"Canada","steel",2040,0.855129120188464
"Canada","steel",2045,0.771911921139336
"Canada","steel",2050,0.688694722090208
"Canada","steel",2055,0.688694722090208
"Canada","steel",2060,0.688694722090208
"Canada","steel",2065,0.688694722090208
"Canada","steel",2070,0.688694722090208
"Canada","steel",2075,0.688694722090208
"Canada","steel",2080,0.688694722090208
"Canada","steel",2085,0.688694722090208
"Canada","steel",2090,0.688694722090208
"Canada","steel",2095,0.688694722090208
"Canada","steel",2100,0.688694722090208
"Central America and Caribbean","steel",2015,2.08262376033046
"Central America and Caribbean","steel",2020,1.96044294625273
"Central America and Caribbean","steel",2025,1.838262132175
"Central America and Caribbean","steel",2030,1.71608131809727
"Central America and Caribbean","steel",2035,1.59390050401954
"Central America and Caribbean","steel",2040,1.47171968994181
"Central America and Caribbean","steel",2045,1.34953887586408
"Central America and Caribbean","steel",2050,1.22735806178635
"Central America and Caribbean","steel",2055,1.22735806178635
"Central America and Caribbean","steel",2060,1.22735806178635
"Central America and Caribbean","steel",2065,1.22735806178635
"Central America and Caribbean","steel",2070,1.22735806178635
"Central America and Caribbean","steel",2075,1.22735806178635
"Central America and Caribbean","steel",2080,1.22735806178635
"Central America and Caribbean","steel",2085,1.22735806178635
"Central America and Caribbean","steel",2090,1.22735806178635
"Central America and Caribbean","steel",2095,1.22735806178635
"Central America and Caribbean","steel",2100,1.22735806178635
"Central Asia","steel",2015,2.56475563251556
"Central Asia","steel",2020,2.34900508733916
"Central Asia","steel",2025,2.13325454216277
"Central Asia","steel",2030,1.91750399698637
"Central Asia","steel",2035,1.70175345180998
"Central Asia","steel",2040,1.48600290663358
"Central Asia","steel",2045,1.27025236145719
"Central Asia","steel",2050,1.05450181628079
"Central Asia","steel",2055,1.05450181628079
"Central Asia","steel",2060,1.05450181628079
"Central Asia","steel",2065,1.05450181628079
"Central Asia","steel",2070,1.05450181628079
"Central Asia","steel",2075,1.05450181628079
"Central Asia","steel",2080,1.05450181628079
"Central Asia","steel",2085,1.05450181628079
"Central Asia","steel",2090,1.05450181628079
"Central Asia","steel",2095,1.05450181628079
"Central Asia","steel",2100,1.05450181628079
"China","steel",2015,1.29453772261294
"China","steel",2020,1.25229090782499
"China","steel",2025,1.21004409303703
"China","steel",2030,1.16779727824908
"China","steel",2035,1.12555046346113
"China","steel",2040,1.08330364867318
"China","steel",2045,1.04105683388523
"China","steel",2050,0.99881001909728
"China","steel",2055,0.99881001909728
"China","steel",2060,0.99881001909728
"China","steel",2065,0.99881001909728
"China","steel",2070,0.99881001909728
"China","steel",2075,0.99881001909728
"China","steel",2080,0.99881001909728
"China","steel",2085,0.99881001909728
"China","steel",2090,0.99881001909728
"China","steel",2095,0.99881001909728
"China","steel",2100,0.99881001909728
"Colombia","steel",2015,2.44242984472072
"Colombia","steel",2020,2.28307531652323
"Colombia","steel",2025,2.12372078832574
"Colombia","steel",2030,1.96436626012825
"Colombia","steel",2035,1.80501173193076
"Colombia","steel",2040,1.64565720373327
"Colombia","steel",2045,1.48630267553578
"Colombia","steel",2050,1.32694814733829
"Colombia","steel",2055,1.32694814733829
"Colombia","steel",2060,1.32694814733829
"Colombia","steel",2065,1.32694814733829
"Colombia","steel",2070,1.32694814733829
"Colombia","steel",2075,1.32694814733829
"Colombia","steel",2080,1.32694814733829
"Colombia","steel",2085,1.32694814733829
"Colombia","steel",2090,1.32694814733829
"Colombia","steel",2095,1.32694814733829
"Colombia","steel",2100,1.32694814733829
"EU-12","steel",2015,2.07953633993335
"EU-12","steel",2020,1.92182274235144
"EU-12","steel",2025,1.76410914476953
"EU-12","steel",2030,1.60639554718761
"EU-12","steel",2035,1.4486819496057
"EU-12","steel",2040,1.29096835202379
"EU-12","steel",2045,1.13325475444188
"EU-12","steel",2050,0.975541156859962
"EU-12","steel",2055,0.975541156859962
"EU-12","steel",2060,0.975541156859962
"EU-12","steel",2065,0.975541156859962
"EU-12","steel",2070,0.975541156859962
"EU-12","steel",2075,0.975541156859962
"EU-12","steel",2080,0.975541156859962
"EU-12","steel",2085,0.975541156859962
"EU-12","steel",2090,0.975541156859962
"EU-12","steel",2095,0.975541156859962
"EU-12","steel",2100,0.975541156859962
"EU-15","steel",2015,1.05272096655659
