"region","supplysector","subsector","stub.technology","year","minicam.non.energy.input","input.cost"
"Africa_Eastern","elect_td_bld","elect_td_bld","elect_td_bld",2025,"non-energy",8.00468472896272
"Africa_Eastern","elect_td_ind","elect_td_ind","elect_td_ind",2025,"non-energy",1.27750668352075
"Africa_Eastern","elect_td_trn","elect_td_trn","elect_td_trn",2025,"non-energy",8.00468472896272
"Africa_Eastern","elect_td_bld","elect_td_bld","elect_td_bld",2030,"non-energy",7.08525580066257
"Africa_Eastern","elect_td_ind","elect_td_ind","elect_td_ind",2030,"non-energy",1.14517353435217
"Africa_Eastern","elect_td_trn","elect_td_trn","elect_td_trn",2030,"non-energy",7.08525580066257
"Africa_Eastern","elect_td_bld","elect_td_bld","elect_td_bld",2035,"non-energy",6.10714084641457
"Africa_Eastern","elect_td_ind","elect_td_ind","elect_td_ind",2035,"non-energy",0.998511699607582
"Africa_Eastern","elect_td_trn","elect_td_trn","elect_td_trn",2035,"non-energy",6.10714084641457
"Africa_Eastern","elect_td_bld","elect_td_bld","elect_td_bld",2040,"non-energy",5.24153231103673
"Africa_Eastern","elect_td_ind","elect_td_ind","elect_td_ind",2040,"non-energy",0.880055942075256
"Africa_Eastern","elect_td_trn","elect_td_trn","elect_td_trn",2040,"non-energy",5.24153231103673
"Africa_Eastern","elect_td_bld","elect_td_bld","elect_td_bld",2045,"non-energy",4.261602600785
"Africa_Eastern","elect_td_ind","elect_td_ind","elect_td_ind",2045,"non-energy",0.73350644705974
"Africa_Eastern","elect_td_trn","elect_td_trn","elect_td_trn",2045,"non-energy",4.261602600785
"Africa_Eastern","elect_td_bld","elect_td_bld","elect_td_bld",2050,"non-energy",3.2756353630892
"Africa_Eastern","elect_td_ind","elect_td_ind","elect_td_ind",2050,"non-energy",0.585780314017923
"Africa_Eastern","elect_td_trn","elect_td_trn","elect_td_trn",2050,"non-energy",3.2756353630892
"Africa_Eastern","elect_td_bld","elect_td_bld","elect_td_bld",2055,"non-energy",3.19324894558621
"Africa_Eastern","elect_td_ind","elect_td_ind","elect_td_ind",2055,"non-energy",0.564876297636569
"Africa_Eastern","elect_td_trn","elect_td_trn","elect_td_trn",2055,"non-energy",3.19324894558621
"Africa_Eastern","elect_td_bld","elect_td_bld","elect_td_bld",2060,"non-energy",3.11070882208043
"Africa_Eastern","elect_td_ind","elect_td_ind","elect_td_ind",2060,"non-energy",0.543818575252411
"Africa_Eastern","elect_td_trn","elect_td_trn","elect_td_trn",2060,"non-energy",3.11070882208043
"Africa_Eastern","elect_td_bld","elect_td_bld","elect_td_bld",2065,"non-energy",3.02816869857464
"Africa_Eastern","elect_td_ind","elect_td_ind","elect_td_ind",2065,"non-energy",0.522760852868253
"Africa_Eastern","elect_td_trn","elect_td_trn","elect_td_trn",2065,"non-energy",3.02816869857464
"Africa_Eastern","elect_td_bld","elect_td_bld","elect_td_bld",2070,"non-energy",2.94562857506885
"Africa_Eastern","elect_td_ind","elect_td_ind","elect_td_ind",2070,"non-energy",0.501703130484095
"Africa_Eastern","elect_td_trn","elect_td_trn","elect_td_trn",2070,"non-energy",2.94562857506885
"Africa_Eastern","elect_td_bld","elect_td_bld","elect_td_bld",2075,"non-energy",2.86308845156306
"Africa_Eastern","elect_td_ind","elect_td_ind","elect_td_ind",2075,"non-energy",0.480645408099937
"Africa_Eastern","elect_td_trn","elect_td_trn","elect_td_trn",2075,"non-energy",2.86308845156306
"Africa_Eastern","elect_td_bld","elect_td_bld","elect_td_bld",2080,"non-energy",2.78054832805728
"Africa_Eastern","elect_td_ind","elect_td_ind","elect_td_ind",2080,"non-energy",0.459587685715779
"Africa_Eastern","elect_td_trn","elect_td_trn","elect_td_trn",2080,"non-energy",2.78054832805728
"Africa_Eastern","elect_td_bld","elect_td_bld","elect_td_bld",2085,"non-energy",2.69816191055429
"Africa_Eastern","elect_td_ind","elect_td_ind","elect_td_ind",2085,"non-energy",0.438683669334426
"Africa_Eastern","elect_td_trn","elect_td_trn","elect_td_trn",2085,"non-energy",2.69816191055429
"Africa_Eastern","elect_td_bld","elect_td_bld","elect_td_bld",2090,"non-energy",2.61562178704851
"Africa_Eastern","elect_td_ind","elect_td_ind","elect_td_ind",2090,"non-energy",0.417625946950268
"Africa_Eastern","elect_td_trn","elect_td_trn","elect_td_trn",2090,"non-energy",2.61562178704851
"Africa_Eastern","elect_td_bld","elect_td_bld","elect_td_bld",2095,"non-energy",2.53308166354272
"Africa_Eastern","elect_td_ind","elect_td_ind","elect_td_ind",2095,"non-energy",0.39656822456611
"Africa_Eastern","elect_td_trn","elect_td_trn","elect_td_trn",2095,"non-energy",2.53308166354272
"Africa_Eastern","elect_td_bld","elect_td_bld","elect_td_bld",2100,"non-energy",2.45054154003693
"Africa_Eastern","elect_td_ind","elect_td_ind","elect_td_ind",2100,"non-energy",0.375510502181952
"Africa_Eastern","elect_td_trn","elect_td_trn","elect_td_trn",2100,"non-energy",2.45054154003693
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2015,"non-energy",3.29654807132272
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2015,"non-energy",0.504191118611891
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2015,"non-energy",3.29654807132272
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2020,"non-energy",3.19237290179313
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2020,"non-energy",0.499732730669107
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2020,"non-energy",3.19237290179313
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2025,"non-energy",3.05979237504939
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2025,"non-energy",0.488327191097002
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2025,"non-energy",3.05979237504939
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2030,"non-energy",2.88432476144066
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2030,"non-energy",0.466186750938421
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2030,"non-energy",2.88432476144066
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2035,"non-energy",2.69484658752418
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2035,"non-energy",0.440604845043032
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2035,"non-energy",2.69484658752418
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2040,"non-energy",2.57490629694044
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2040,"non-energy",0.432328077447494
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2040,"non-energy",2.57490629694044
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2045,"non-energy",2.43482827411317
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2045,"non-energy",0.419082303970899
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2045,"non-energy",2.43482827411317
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2050,"non-energy",2.35987591028184
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2050,"non-energy",0.422015486627467
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2050,"non-energy",2.35987591028184
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2055,"non-energy",2.30052201387734
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2055,"non-energy",0.406955542763639
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2055,"non-energy",2.30052201387734
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2060,"non-energy",2.24105738259149
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2060,"non-energy",0.391784864018459
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2060,"non-energy",2.24105738259149
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2065,"non-energy",2.18159275130564
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2065,"non-energy",0.376614185273279
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2065,"non-energy",2.18159275130564
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2070,"non-energy",2.12212812001978
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2070,"non-energy",0.361443506528099
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2070,"non-energy",2.12212812001978
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2075,"non-energy",2.06266348873393
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2075,"non-energy",0.346272827782919
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2075,"non-energy",2.06266348873393
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2080,"non-energy",2.00319885744808
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2080,"non-energy",0.331102149037739
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2080,"non-energy",2.00319885744808
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2085,"non-energy",1.94384496104358
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2085,"non-energy",0.316042205173911
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2085,"non-energy",1.94384496104358
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2090,"non-energy",1.88438032975773
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2090,"non-energy",0.300871526428731
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2090,"non-energy",1.88438032975773
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2095,"non-energy",1.82491569847188
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2095,"non-energy",0.285700847683551
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2095,"non-energy",1.82491569847188
"Africa_Northern","elect_td_bld","elect_td_bld","elect_td_bld",2100,"non-energy",1.76545106718603
